amount,binary_total_ms,quaternary_total_ms,decimal_total_ms
100,0.131546,0.084705,0.0591913
200,0.457684,0.218429,0.15199
300,0.477949,0.276441,0.144057
400,0.443854,0.274189,0.167926
500,0.458976,0.263495,0.161344
600,0.477681,0.261706,0.160374
700,0.542249,0.313505,0.180944
800,0.614115,0.355891,0.207191
900,0.688005,0.374586,0.228923
1000,0.749791,0.41774,0.275905
1100,0.816981,0.451955,0.279335
1200,0.861004,0.493359,0.300815
1300,0.922453,0.524106,0.316758
1400,0.983316,0.559799,0.330889
1500,1.04936,0.598814,0.361475
1600,1.09746,0.612477,0.360785
1700,1.16414,0.646646,0.39712
1800,1.21196,0.677059,0.401385
1900,1.24962,0.724905,0.429999
2000,1.26671,0.730629,0.471814
2100,1.38698,0.744881,0.459406
2200,1.46123,0.764944,0.473629
2300,1.46026,0.804156,0.48949
2400,1.54744,0.839785,0.511217
2500,1.57637,0.872869,0.544771
2600,1.63155,0.896444,0.564967
2700,1.64966,0.942929,0.555234
2800,1.74498,0.996786,0.611166
2900,1.78854,0.989234,0.611671
3000,1.80776,1.03071,0.624366
3100,1.89116,1.05898,0.616101
3200,1.93015,1.06695,0.690214
3300,1.9462,1.14094,0.67797
3400,2.02709,1.13974,0.695609
3500,2.04327,1.16573,0.708834
3600,2.10913,1.20155,0.712269
3700,2.17037,1.20952,0.756857
3800,2.22313,1.26136,0.758341
3900,2.25314,1.26381,0.792204
4000,2.25229,1.3038,0.772991
4100,2.34702,1.32882,0.80943
4200,2.35061,1.3753,0.827331
4300,2.38396,1.40991,0.84609
4400,2.65832,1.45098,0.875725
4500,2.51922,1.45147,0.9056
4600,2.52876,1.44236,0.894825
4700,2.61877,1.47159,0.892965
4800,2.65428,1.53674,0.940005
4900,2.70492,1.54485,0.922971
5000,2.7958,1.60079,0.959714
5100,2.86205,1.55682,0.966011
5200,2.83256,1.60895,1.01139
5300,2.8478,1.66793,0.998888
5400,3.002,1.68357,0.992876
5500,2.91725,1.70868,1.0831
5600,2.99972,1.68406,1.03719
5700,3.04024,1.62277,1.05807
5800,2.96838,1.70494,1.11987
5900,3.133,1.71875,1.09446
6000,3.06042,1.70177,1.12299
6100,3.01265,1.77619,1.18462
6200,3.04056,1.81347,1.39996
6300,3.60631,1.84972,1.12189
6400,3.54734,1.88063,1.14107
6500,3.66925,1.8321,1.09941
6600,3.56799,1.86932,1.15752
6700,3.68985,1.8845,1.15998
6800,3.65619,1.97856,1.20621
6900,3.61963,1.93792,1.23606
7000,3.67839,1.96485,1.23863
7100,3.6796,1.99288,1.24287
7200,3.74519,2.03357,1.29987
7300,4.64152,2.77156,1.3959
7400,5.19995,2.81694,1.66033
7500,5.52598,3.21378,1.87302
7600,5.31711,2.88191,1.60432
7700,5.97026,3.22998,2.01466
7800,6.20411,2.88064,1.82701
7900,5.80356,2.71667,1.80762
8000,5.10701,2.9296,1.59174
8100,5.90726,3.24453,1.83442
8200,5.58139,2.94326,1.83947
8300,5.22854,3.04934,1.72447
8400,5.20125,2.8832,1.7015
8500,5.525,3.10594,1.81976
8600,5.25318,3.09876,1.81211
8700,5.12339,3.11196,1.78402
8800,5.81034,3.20005,1.74042
