database_size,binary_avg_us,quaternary_avg_us,decimal_avg_us
100,0.134469,0.06529,0.0299252
200,0.250474,0.097668,0.0433352
300,0.217991,0.116404,0.0580236
400,0.295511,0.123069,0.053474
500,0.273746,0.111999,0.0637804
600,0.338565,0.16702,0.0655144
700,0.33653,0.171101,0.0827804
800,0.451048,0.164349,0.0837744
900,0.429702,0.143998,0.0995148
1000,0.40088,0.196069,0.11176
1100,0.557572,0.216892,0.109698
1200,0.449616,0.226717,0.134362
1300,0.464182,0.288557,0.120697
1400,0.621281,0.205048,0.126709
1500,0.458554,0.307964,0.185343
1600,0.568581,0.215432,0.1615
1700,0.605097,0.248001,0.159821
1800,0.627145,0.202909,0.138177
1900,0.813822,0.322208,0.162918
2000,0.858038,0.313537,0.198165
2100,0.683687,0.301464,0.168329
2200,0.599707,0.330687,0.19915
2300,0.720165,0.301358,0.190986
2400,0.731584,0.327358,0.183978
2500,0.748494,0.386695,0.244145
2600,0.889886,0.499494,0.224722
2700,0.810606,0.393457,0.206062
2800,0.732782,0.33934,0.237587
2900,0.794592,0.468921,0.211123
3000,0.971249,0.411041,0.260963
3100,0.93762,0.459103,0.272496
3200,0.875954,0.485354,0.22286
3300,0.849381,0.539283,0.221454
3400,0.909278,0.427361,0.28616
3500,0.885901,0.539681,0.293016
3600,1.06741,0.509823,0.215217
3700,0.970022,0.425131,0.268658
3800,0.99145,0.511172,0.29426
3900,1.08459,0.465864,0.265634
4000,1.01818,0.535317,0.275641
4100,0.91436,0.471742,0.331088
4200,1.07974,0.574255,0.251634
4300,0.887676,0.448579,0.303207
4400,0.815796,0.493464,0.289242
4500,1.05783,0.498303,0.317144
4600,1.06344,0.43061,0.297511
4700,1.11316,0.405047,0.359697
4800,0.888064,0.49975,0.293976
4900,0.95452,0.57945,0.391754
5000,1.14345,0.500271,0.376774
5100,1.03892,0.641928,0.34343
5200,0.915254,0.45843,0.321056
5300,1.25872,0.596589,0.315187
5400,1.02866,0.600827,0.348042
5500,1.15347,0.442986,0.265852
5600,1.09272,0.503684,0.323424
5700,1.00599,0.488203,0.320924
5800,1.15563,0.501857,0.320745
5900,1.04344,0.511785,0.308549
6000,1.03924,0.480128,0.356852
6100,1.02616,0.574288,0.319065
6200,1.17132,0.61779,0.363547
6300,1.17703,0.588806,0.34551
6400,1.0887,0.590106,0.34772
6500,1.08959,0.469192,0.311639
6600,1.20441,0.51988,0.336662
6700,1.08045,0.513968,0.337179
6800,1.03595,0.623776,0.292212
6900,1.05729,0.558559,0.311282
7000,1.23283,0.601317,0.368882
7100,1.06818,0.554266,0.313731
7200,1.14363,0.461717,0.393124
7300,1.24887,0.570204,0.353775
7400,1.09772,0.531068,0.409416
7500,1.17308,0.54664,0.412729
7600,1.26482,0.498502,0.289386
7700,1.1582,0.723968,0.330806
7800,1.04693,0.523975,0.477774
7900,1.07016,0.506162,0.373427
8000,1.18887,0.608142,0.385366
8100,1.27762,0.559762,0.440279
8200,1.09958,0.606824,0.413098
8300,1.16529,0.50225,0.398507
8400,1.21015,0.732088,0.37693
8500,1.17144,0.65879,0.391648
8600,1.32999,0.478003,0.38441
8700,1.14796,0.531063,0.351126
8800,1.07566,0.598678,0.334211
