amount,binary_total_ms,quaternary_total_ms,decimal_total_ms
100,0.346061,0.182499,0.11422
200,0.55066,0.307288,0.20811
300,0.780699,0.433727,0.321575
400,0.914032,0.534387,0.381653
500,1.02562,0.630797,0.465213
600,1.27118,0.718178,0.554228
700,1.41661,0.914046,0.700717
800,1.76729,1.30446,0.929171
900,1.74234,1.0843,0.69093
1000,1.69288,0.976503,0.705959
1100,1.88634,1.27499,0.796683
1200,1.92775,1.19589,0.885742
1300,2.08494,1.44919,1.05766
1400,2.16446,1.51711,1.00546
1500,2.49659,1.75629,1.02397
1600,2.69282,1.68058,1.28037
1700,2.699,1.94514,1.41732
1800,2.96304,1.89919,1.35082
1900,3.19909,1.9157,1.37317
2000,3.13502,2.03877,1.45282
2100,3.2456,2.17142,1.41152
2200,3.23012,2.14879,1.51206
2300,3.58692,2.32402,1.63788
2400,3.65649,2.36738,1.62404
2500,3.96934,2.3425,1.60639
2600,3.98858,2.44307,1.71476
2700,4.05989,2.61487,1.78289
2800,4.31618,2.63098,1.78834
2900,4.45094,2.65509,1.90903
3000,4.48634,2.74749,2.04168
3100,4.67221,2.69431,1.99992
3200,4.84018,2.7676,2.19159
3300,4.91686,2.89645,2.07664
3400,5.03839,2.92635,2.01921
3500,5.24426,3.03263,2.20452
3600,5.33651,3.06276,2.17887
3700,5.19282,2.92435,2.20194
3800,5.48487,2.92874,2.20768
3900,5.72912,3.0688,2.19489
4000,6.07786,3.02706,2.18793
4100,5.86332,3.18227,2.47569
4200,5.93348,3.21686,2.2512
4300,6.33883,3.38495,2.26759
4400,6.24001,3.2691,2.50982
4500,6.2084,3.40778,2.32887
4600,6.36875,3.548,2.46075
4700,6.70624,3.64589,2.61203
4800,6.96214,3.58836,2.76264
4900,6.85196,3.59089,2.63919
5000,6.9421,3.64419,2.72032
5100,6.99987,3.8,2.61168
5200,6.99162,3.80001,2.63308
5300,7.20678,3.97607,2.53328
5400,7.16378,4.04132,2.73127
5500,7.5627,4.03732,2.59118
5600,7.37536,3.97399,2.81102
5700,7.74717,4.23134,2.79588
5800,7.5825,4.22709,2.82631
5900,7.52577,4.21968,2.78235
6000,8.14171,4.43192,2.77314
6100,8.77406,4.32353,3.01337
6200,8.34446,4.38131,3.1425
6300,8.23535,4.57236,2.69543
6400,8.25417,4.58739,2.94609
6500,8.67786,4.59331,2.89115
6600,8.62001,4.89296,2.94813
6700,8.46284,4.72255,2.94785
6800,8.4332,4.49492,3.20531
6900,8.81469,4.62149,3.10616
7000,9.94696,4.88204,3.9852
7100,9.09102,4.80532,3.09128
7200,8.85378,4.66878,3.10146
7300,8.99793,4.77451,2.98412
7400,9.46523,4.89708,3.14943
7500,9.20927,4.89506,3.05003
7600,9.35204,4.81653,3.37009
7700,9.2974,4.97313,3.18021
7800,9.61889,4.75326,3.25126
7900,9.56098,4.9653,3.35046
8000,9.63919,5.1343,3.33276
8100,9.67465,4.9587,3.4073
8200,9.74999,5.13045,3.27161
8300,9.90935,5.04924,3.33566
8400,9.84869,5.15584,3.29375
8500,10.2323,5.04579,3.51495
8600,10.2814,5.17284,3.60481
8700,19.8654,10.8372,7.25586
8800,22.5108,11.5298,8.60645
