database_size,binary_avg_us,quaternary_avg_us,decimal_avg_us
100,1.91,1.772,1.076
200,2.002,1.534,1.169
300,2.059,1.501,1.28
400,2.39,1.449,1.172
500,2.494,1.572,1.708
600,2.907,1.963,1.34
700,2.831,1.631,1.681
800,2.498,1.737,1.694
900,2.731,2.011,1.844
1000,3.072,2.645,2.094
1100,2.681,2.22,2.058
1200,3.17,3.01,1.893
1300,3.707,2.667,2.166
1400,4.184,2.503,2.249
1500,3.36,2.953,1.882
1600,4.106,2.811,1.91
1700,4.325,2.844,1.91
1800,4.202,3.376,2.112
1900,4.897,3.231,2.43
2000,4.893,3.758,2.588
2100,4.284,3.07,2.126
2200,4.749,3.467,2.18
2300,5.561,3.876,2.95
2400,4.293,2.938,1.948
2500,4.628,3.917,2.443
2600,4.123,3.437,2.135
2700,5.265,4.884,2.452
2800,4.516,4.737,2.081
2900,4.376,3.601,2.191
3000,6.324,4.96,2.413
3100,5.75,3.901,2.681
3200,5.157,4.389,2.936
3300,7.346,3.771,2.442
3400,5.323,4.257,2.665
3500,5.909,3.625,2.434
3600,5.689,4.357,2.885
3700,6.331,3.783,2.382
3800,5.315,4.231,2.512
3900,6.149,5.173,2.477
4000,5.67,3.685,2.063
4100,5.652,4.146,2.789
4200,6.328,4.66,2.611
4300,6.234,4.595,2.98
4400,5.973,4.101,2.604
4500,6.894,5.28,3.273
4600,5.622,4.051,2.431
4700,6.032,4.438,2.581
4800,6.945,4.796,2.954
4900,5.627,3.791,2.636
5000,7.915,4.682,2.582
5100,6.122,3.658,2.799
5200,7.128,4.751,3.302
5300,5.375,4.481,2.874
5400,7.427,4.688,3.101
5500,7.301,4.701,3.449
5600,5.467,4.324,3.282
5700,6.326,4.813,3.565
5800,5.931,4.928,3.015
5900,7.3,5.197,2.512
6000,6.256,5.504,3.429
6100,5.946,4.743,2.996
6200,7.529,5.008,2.838
6300,8.284,6.814,2.691
6400,6.414,5.224,3.082
6500,5.915,4.872,3.423
6600,7.706,5.458,3.351
6700,6.709,4.813,3.77
6800,6.515,5.423,2.903
6900,7.36,5.85,2.884
7000,7.646,4.41,4.468
7100,7.639,4.538,3.653
7200,7.243,5.074,3.303
7300,7.996,5.25,3.495
7400,8.534,6.031,4.731
7500,8.137,5.547,3.519
7600,6.825,5.051,3.088
7700,8.103,5.167,3.208
7800,7.279,5.792,3.138
7900,6.631,4.886,2.952
8000,7.631,6.051,2.93
8100,7.432,5.879,3.098
8200,8.171,5.506,3.377
8300,8.218,6.014,3.61
8400,7.952,5.402,2.924
8500,8.275,6.726,4.364
8600,8.824,5.018,3.914
8700,8.362,4.724,2.686
8800,8.4,4.754,2.652
