amount,binary_total_ms,quaternary_total_ms,decimal_total_ms
1,0.0488348,0.0350182,0.0318325
2,0.115686,0.0838089,0.0668834
3,0.197727,0.151539,0.123039
4,0.281031,0.194975,0.17679
5,0.335535,0.25285,0.209409
6,0.415701,0.311511,0.254448
7,0.467764,0.344303,0.289109
8,0.537833,0.414581,0.35041
9,0.631449,0.446819,0.387963
10,0.691189,0.565046,0.469631
11,0.729687,0.586842,0.508399
12,0.810214,0.63693,0.556654
13,0.866924,0.699132,0.539746
14,0.986378,0.788048,0.659225
15,1.0621,0.800222,0.687125
16,1.09858,0.821138,0.710264
17,1.09425,0.821654,0.735765
18,1.17975,0.963866,0.801172
19,1.27222,0.960248,0.771187
20,1.30985,1.0077,0.851645
21,1.37153,1.03949,0.886163
22,1.42935,1.12959,0.991705
23,1.49602,1.10483,0.96937
24,1.51028,1.14133,0.988696
25,1.62457,1.20135,1.06497
26,1.69307,1.32981,1.12987
27,1.78635,1.33498,1.13359
28,1.80246,1.36049,1.18426
29,1.79717,1.3521,1.15206
30,1.97706,1.51068,1.2965
31,2.04617,1.52231,1.328
32,2.05158,1.56503,1.33456
33,2.09894,1.61517,1.34497
34,2.15317,1.70156,1.43415
35,2.23394,1.60994,1.40811
36,2.28068,1.74449,1.45276
37,2.28335,1.80417,1.5037
38,2.44181,1.80285,1.57974
39,2.50444,1.87105,1.61909
40,2.49197,1.8625,1.62845
41,2.60276,1.85816,1.72063
42,2.58897,2.02402,1.74051
43,2.65881,2.013,1.68898
44,2.78196,2.01774,1.81597
45,2.72541,2.05393,1.78583
46,2.96604,2.2166,1.93009
47,3.03038,2.24556,1.95879
48,3.10909,2.24632,1.97679
49,3.09686,2.29132,1.99924
50,3.09569,2.33489,1.98656
