database_size,binary_avg_us,quaternary_avg_us,decimal_avg_us
100,4.36434,3.3037,3.31834
200,6.25266,4.81644,4.93148
300,6.66984,5.69836,5.52046
400,7.72228,5.71146,5.37338
500,6.96548,5.45214,4.96858
600,7.91066,6.39418,6.17338
700,8.6258,7.20546,7.07724
800,8.87488,7.9669,7.5944
900,8.95822,6.99366,6.80946
1000,9.55314,7.96652,7.39678
1100,10.7368,8.53538,8.68658
1200,9.52574,7.7853,7.891
1300,9.171,7.74858,7.66258
1400,12.3692,10.632,9.94502
1500,11.5644,8.12434,8.74208
1600,13.2746,11.5876,10.5821
1700,14.6846,11.4704,11.8014
1800,13.4951,10.7197,9.70658
1900,14.4699,11.2498,10.7617
2000,13.6931,10.7855,12.116
2100,12.604,10.8113,8.93376
2200,15.2995,10.7477,11.1877
2300,12.8537,11.2944,11.0764
2400,15.0061,10.6296,10.038
2500,22.2927,18.0856,16.3228
2600,16.6413,14.0369,13.4596
2700,15.2355,11.6953,12.0121
2800,15.3023,12.3104,12.9799
2900,15.5689,12.8198,14.6131
3000,17.0921,14.0973,14.4271
3100,18.3761,15.459,13.3906
3200,20.9709,16.2985,16.5219
3300,21.2745,18.3529,15.4139
3400,20.5681,13.9293,13.593
3500,18.9622,14.4692,14.1131
3600,20.8913,14.5929,15.238
3700,21.9269,17.5995,15.6168
3800,21.8399,17.344,17.9213
3900,20.7033,16.5038,15.7529
4000,20.4147,17.8004,15.9808
4100,18.6837,13.5618,12.7138
4200,20.5,15.7009,15.1252
4300,16.4999,14.6812,14.0583
4400,19.0246,14.0289,14.4602
4500,22.478,17.1873,16.2828
4600,29.2371,20.8183,18.8609
4700,23.7158,18.5173,18.3472
4800,27.2548,20.5838,20.2649
4900,23.1906,18.2444,17.9824
5000,23.7359,19.403,20.5713
5100,25.2396,20.087,17.4005
5200,30.3632,22.7354,22.7414
5300,27.3648,18.998,18.6744
5400,19.6162,15.836,15.4528
5500,26.1891,15.9424,16.0463
5600,31.7402,23.6505,23.5871
5700,27.7005,23.4085,22.6472
5800,26.2496,17.8103,17.5409
5900,29.7824,23.648,22.0835
6000,26.9444,20.1072,18.6612
6100,33.448,22.7829,22.9326
6200,31.2219,21.9892,23.3589
6300,30.4488,21.1077,21.289
6400,30.104,25.2283,23.4453
6500,31.0711,21.0182,21.537
6600,21.3022,17.1012,15.8358
6700,32.1191,22.7104,25.059
6800,26.4422,22.9579,18.8007
6900,30.6921,23.2407,21.8882
7000,28.9028,25.0892,22.7979
7100,35.3484,26.6381,25.9509
7200,29.4937,22.3987,20.5539
7300,31.6552,24.5056,22.3512
7400,36.657,27.2356,25.3233
7500,29.2031,21.1758,22.1909
7600,44.6588,30.0321,28.0958
7700,30.8863,23.7987,21.8737
7800,34.2033,25.7591,26.8571
7900,42.8762,32.0107,29.2112
8000,40.327,30.91,26.224
8100,38.9872,29.9239,27.4561
8200,36.5537,28.7835,26.5979
8300,39.7128,29.9223,28.298
8400,35.5319,23.8506,23.7408
8500,33.1554,24.1735,22.7474
8600,43.9579,30.9195,28.9592
8700,46.1838,32.2373,28.7986
8800,40.9383,32.1461,30.9322
