amount,binary_total_ms,quaternary_total_ms,decimal_total_ms
100,0.018612,0.00783122,0.00352132
200,0.0433392,0.0161518,0.00627582
300,0.0652259,0.032942,0.0105121
400,0.0910249,0.0373703,0.0127876
500,0.113335,0.0381602,0.0172686
600,0.149246,0.0489619,0.0205129
700,0.181745,0.0558561,0.0227421
800,0.215977,0.0596309,0.0236202
900,0.277132,0.0904205,0.0320005
1000,0.345894,0.0947055,0.034528
1100,0.396685,0.11916,0.045373
1200,0.447483,0.139346,0.0437104
1300,0.473317,0.162999,0.0483051
1400,0.557161,0.191862,0.0552278
1500,0.582278,0.21477,0.0539998
1600,0.59964,0.212679,0.0633887
1700,0.615888,0.21155,0.0568048
1800,0.741827,0.277129,0.0724814
1900,0.823209,0.273438,0.0755675
2000,0.803428,0.267115,0.0808515
2100,0.875525,0.284589,0.086355
2200,0.916611,0.295257,0.088322
2300,1.0364,0.336878,0.0998064
2400,1.08634,0.386947,0.105151
2500,1.15145,0.361521,0.116047
2600,1.17292,0.411856,0.131394
2700,1.21262,0.405357,0.132895
2800,1.29673,0.428498,0.133768
2900,1.22331,0.426013,0.141206
3000,1.23189,0.431243,0.15584
3100,1.27886,0.463759,0.149923
3200,1.48413,0.513601,0.178297
3300,2.63967,0.888909,0.265356
3400,2.90349,1.01566,0.251744
3500,2.62315,0.954843,0.285703
3600,2.41865,0.848556,0.269156
3700,2.13378,0.746777,0.237235
3800,2.19196,0.78496,0.243193
3900,2.30735,0.926725,0.267116
4000,2.29488,0.93411,0.269831
4100,2.82892,1.05748,0.347375
4200,2.84911,1.10917,0.365183
4300,2.8052,1.0863,0.365631
4400,2.54274,1.05638,0.337127
4500,2.52252,0.992736,0.330127
4600,2.8685,1.1767,0.409124
4700,2.95547,1.20756,0.387183
4800,3.02922,1.2551,0.392337
4900,3.09482,1.24744,0.402029
5000,3.12537,1.25189,0.449667
5100,3.02592,1.24813,0.412778
5200,3.18342,1.33506,0.448967
5300,3.17733,1.31724,0.435893
5400,3.09103,1.33387,0.429077
5500,3.31912,1.36442,0.448459
5600,3.468,1.47015,0.467656
5700,3.40118,1.37828,0.475307
5800,3.67691,1.52472,0.497094
5900,3.74422,1.57767,0.503462
6000,3.34419,1.30621,0.471071
6100,2.94403,1.19666,0.369988
6200,1.90423,0.757851,0.290942
6300,1.90866,0.758137,0.296782
6400,1.91221,0.814344,0.300703
6500,1.94228,0.814519,0.301551
6600,2.00198,0.813224,0.296333
6700,2.02641,0.830716,0.302331
6800,2.02415,0.897224,0.327656
6900,2.05481,0.861731,0.319015
7000,2.21008,0.904806,0.340732
7100,2.21018,0.904019,0.319896
7200,2.22562,0.894834,0.335227
7300,2.27296,0.906859,0.337757
7400,4.13314,1.59042,0.54899
7500,3.99466,1.61879,0.48814
7600,2.6649,1.10039,0.404162
7700,2.31867,0.964196,0.376118
7800,2.34258,0.990296,0.381495
7900,2.38007,0.99165,0.377418
8000,2.96696,1.20832,0.437262
8100,2.61187,1.05797,0.418908
8200,2.62609,1.07347,0.416144
8300,2.76219,1.11382,0.439368
8400,3.18924,1.25986,0.466022
8500,2.72852,1.16199,0.435535
8600,3.57372,1.47397,0.557186
8700,2.51429,0.98704,0.383178
8800,2.38119,0.946389,0.375382
