database_size,binary_avg_us,quaternary_avg_us,decimal_avg_us
100,0.07675,0.0563125,0.046625
200,0.0808125,0.0526875,0.041
300,0.086875,0.0583125,0.0368125
400,0.090625,0.0573125,0.0495
500,0.0866875,0.055125,0.0505625
600,0.0868125,0.0514375,0.0464375
700,0.0860625,0.054,0.054375
800,0.0935,0.058375,0.0614375
900,0.10575,0.0788125,0.04725
1000,0.11575,0.06175,0.0516875
1100,0.099,0.074875,0.0563125
1200,0.0979375,0.0840625,0.04875
1300,0.10775,0.0774375,0.0583125
1400,0.1175,0.063,0.049375
1500,0.124375,0.0955625,0.06875
1600,0.1235,0.0886875,0.0679375
1700,0.128875,0.0826875,0.055625
1800,0.122438,0.0845625,0.0585625
1900,0.120625,0.11075,0.0646875
2000,0.142063,0.104312,0.053375
2100,0.138,0.119875,0.0804375
2200,0.158687,0.105375,0.0675
2300,0.15125,0.11375,0.0610625
2400,0.16,0.099125,0.0753125
2500,0.156375,0.154375,0.068125
2600,0.132625,0.126375,0.059875
2700,0.159938,0.117438,0.17675
2800,0.16,0.12975,0.0941875
2900,0.167687,0.11525,0.063375
3000,0.182937,0.150375,0.073125
3100,0.201562,0.143875,0.06875
3200,0.1985,0.114188,0.07625
3300,0.208562,0.14575,0.061125
3400,0.197312,0.179,0.0835
3500,0.216125,0.1395,0.0755
3600,0.2585,0.118375,0.0745
3700,0.193812,0.165563,0.095375
3800,0.204062,0.180938,0.0876875
3900,0.220812,0.15075,0.0678125
4000,0.203375,0.156375,0.0814375
4100,0.210187,0.173063,0.08825
4200,0.19325,0.174,0.061375
4300,0.203813,0.136063,0.085875
4400,0.243875,0.144438,0.0915625
4500,0.173562,0.138687,0.073875
4600,0.211812,0.1755,0.08725
4700,0.25175,0.142813,0.08475
4800,0.273812,0.160562,0.10275
4900,0.18375,0.141813,0.07275
5000,0.19875,0.1775,0.073625
5100,0.28325,0.133313,0.075125
5200,0.202437,0.148,0.0801875
5300,0.226187,0.2005,0.082375
5400,0.248688,0.177812,0.0705
5500,0.219125,0.160187,0.071875
5600,0.238437,0.18025,0.081875
5700,0.211062,0.192812,0.085375
5800,0.2335,0.164688,0.073375
5900,0.251875,0.160313,0.078
6000,0.236688,0.16625,0.0801875
6100,0.34625,0.194813,0.0789375
6200,0.278375,0.150375,0.0899375
6300,0.242625,0.174313,0.105563
6400,0.225687,0.19925,0.0923125
6500,0.243812,0.148875,0.100437
6600,0.223188,0.157625,0.08125
6700,0.251313,0.148812,0.109
6800,0.271875,0.150125,0.099875
6900,0.340187,0.148125,0.114
7000,0.262,0.172125,0.0960625
7100,0.246375,0.167,0.112437
7200,0.238812,0.175,0.106688
7300,0.226125,0.163438,0.0901875
7400,0.246813,0.170187,0.104375
7500,0.243,0.1545,0.106875
7600,0.315437,0.177437,0.103375
7700,0.257625,0.186313,0.112312
7800,0.239062,0.179313,0.105875
7900,0.243,0.195563,0.104313
8000,0.235875,0.158562,0.111812
8100,0.259125,0.1785,0.108125
8200,0.266562,0.189875,0.12075
8300,0.25225,0.178875,0.120062
8400,0.24725,0.179375,0.111875
8500,0.258187,0.209062,0.114875
8600,0.2565,0.183625,0.107938
8700,0.269562,0.178563,0.121562
8800,0.240437,0.231687,0.114313
